Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$16,640,452",Jigsaw,Lionsgate Films,"October 25, 2017 (Egypt)",R,1 hr 32 min,,"Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.","['Matt Passmore', 'Tobin Bell', 'Callum Keith Rennie', 'Hannah Emily Anderson']","['Michael Spierig', 'Peter Spierig', 'Josh Stolberg', 'Pete Goldfinger', 'Mark Burg', 'Gregg Hoffman', 'Oren Koules', 'Charlie Clouser', 'Ben Nott', 'Kevin Greutert', 'Anthony Cowley']"
"$12,501,936",Life,Sony Pictures Releasing,"March 22, 2017 (APAC, EMEA)",R,1 hr 44 min,,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,"['Jake Gyllenhaal', 'Rebecca Ferguson', 'Ryan Reynolds', 'Hiroyuki Sanada']","['Daniel Espinosa', 'Rhett Reese', 'Paul Wernick', 'Bonnie Curtis', 'David Ellison', 'Dana Goldberg', 'Julie Lynn', 'Jon Ekstrand', 'Seamus McGarvey', 'Mary Jo Markey', 'Frances Parker', 'Nigel Phelps']"
"$18,286,420",Atomic Blonde,Focus Features,"July 26, 2017 (APAC, EMEA)",R,1 hr 55 min,,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,"['Charlize Theron', 'James McAvoy', 'John Goodman', 'Eddie Marsan']","['David Leitch', 'Kurt Johnstad', 'Antony Johnston', 'Sam Hart', 'A.J. Dix', 'Eric Gitter', 'Beth Kono', 'Kelly McCormick', 'Peter Schwerin', 'Charlize Theron', 'Tyler Bates', 'Jonathan Sela', 'Elísabet Ronaldsdóttir', 'David Scheunemann']"
,Legend of the Demon Cat,,"December 21, 2017 (Australia)",,2 hr 9 min,Adventure Drama Family Fantasy,"When a demon cat appears and breaks the peace of Chang'an City, causing a series of strange events, poet Bai Letian and monk Kukai join hands to investigate the death of the emperor's concubine by following the trail left by the cat.","['Xuan Huang', 'Shôta Sometani', 'Yuqi Zhang', 'Hao Qin']","['Kaige Chen', 'Baku Yumemakura', 'Kaige Chen', 'Hui-Ling Wang', 'Shirley Kao', 'Klaus Badelt', 'Anne-Kathrin Dern', 'Misha Segal', 'Yu Cao', 'Wei Lu', 'Nan Tu']"
"$16,172,119",The Shack,Lionsgate Films,"March 1, 2017 (Philippines)",PG-13,2 hr 12 min,Drama Fantasy,"A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""","['Sam Worthington', 'Octavia Spencer', 'Tim McGraw', 'Radha Mitchell']","['Stuart Hazeldine', 'John Fusco', 'Andrew Lanham', 'Destin Daniel Cretton', 'William P. Young', 'Wayne Jacobsen', 'Brad Cummings', 'Brad Cummings', 'Gil Netter', 'Aaron Zigman', 'Declan Quinn', 'William Steinkamp', 'Joseph C. Nemec III']"
"$138,346",Chasing the Dragon,Well Go USA Entertainment,"September 29, 2017 (Domestic)",,2 hr 8 min,Action Biography Crime History,"An illegal immigrant from Mainland China sneaks into corrupt British-colonized Hong Kong in 1963, transforming himself into a ruthless and emerging drug lord.","['Donnie Yen', 'Andy Lau', 'Philip Keung', 'Wilfred Lau']","['Jason Kwan', 'Jing Wong', 'Aman Chang', 'Koon-Nam Lui', 'Jing Wong', 'Ming-Ho Yip', 'Andy Lau', 'Connie Wong', 'Donnie Yen', 'Kwong Wing Chan', 'Patrick Lui', 'Jason Kwan', 'Ka-Wing Li']"
"$1,787,108",Tiger Zinda Hai,Yash Raj Films,"December 21, 2017 (APAC, EMEA)",,2 hr 41 min,Action Adventure Thriller,"Inspired by real events, Tiger Zinda Hai is a sequel to the blockbuster Ek Tha Tiger, and an espionage action drama that follows a daring rescue mission in Iraq.","['Salman Khan', 'Katrina Kaif', 'Paresh Rawal', 'Anupriya Goenka']","['Ali Abbas Zafar', 'Neelesh Misra', 'Ali Abbas Zafar', 'Ali Abbas Zafar', 'Aditya Chopra', 'Ali Abbas Zafar', 'Aditya Chopra', 'Vishal Dadlani', 'Julius Packiam', 'Shekhar Ravjiani', 'Marcin Laskawiec', 'Rameshwar S. Bhagat', 'Rajnish Hedao']"
"$331,854",A Taxi Driver,Well Go USA Entertainment,"August 2, 2017 (South Korea)",,2 hr 17 min,Action Drama History,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.","['Song Kang-ho', 'Thomas Kretschmann', 'Yoo Hae-jin', 'Ryu Jun-Yeol']","['Hun Jang', 'Yu-na Eom', 'Eun-Kyung Park', 'Cho Young-wuk', 'Nak-seon Go', 'Kim Jae-beom', 'Kim Sang-beom', 'Jo Hwa-seong', 'Yi-jin Jeong']"
"$11,932,330",Going in Style,Warner Bros.,"April 6, 2017 (11 markets)",PG-13,1 hr 36 min,,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.","['Michael Caine', 'Alan Arkin', 'Ann-Margret', 'Matt Dillon']","['Zach Braff', 'Theodore Melfi', 'Edward Cannon', 'Donald De Line', 'Rob Simonsen', 'Rodney Charters', 'Myron Kerstein', 'Anne Ross']"
"$13,002,632",Rings,Paramount Pictures,"February 1, 2017 (EMEA)",PG-13,1 hr 42 min,,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,"['Matilda Anna Ingrid Lutz', 'Alex Roe', 'Johnny Galecki', ""Vincent D'Onofrio""]","['F. Javier Gutiérrez', 'David Loucka', 'Jacob Estes', 'Akiva Goldsman', 'David Loucka', 'Jacob Estes', 'Kôji Suzuki', 'Laurie MacDonald', 'Walter F. Parkes', 'Matthew Margeson', 'Sharone Meir', 'Steve Mirkovich', ""Jeremiah O'Driscoll"", 'Kevin Kavanaugh']"
