Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Dune: Part Two,"$697,757,968","$277,757,968",39.8%,"$420,000,000",60.2%,2024
2,Godzilla x Kong: The New Empire,"$489,580,032","$174,480,032",35.6%,"$315,100,000",64.4%,2024
3,Kung Fu Panda 4,"$482,850,846","$181,449,090",37.6%,"$301,401,756",62.4%,2024
4,Ghostbusters: Frozen Empire,"$177,549,359","$104,137,915",58.7%,"$73,411,444",41.3%,2024
5,Bob Marley: One Love,"$177,193,170","$96,893,170",54.7%,"$80,300,000",45.3%,2024
6,The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%,2024
7,Mean Girls,"$104,404,248","$72,404,248",69.3%,"$32,000,000",30.7%,2024
8,Madame Web,"$100,298,817","$43,817,106",43.7%,"$56,481,711",56.3%,2024
9,Argylle,"$96,170,413","$45,207,275",47%,"$50,963,138",53%,2024
10,Exhuma,"$95,019,488","$2,148,446",2.3%,"$92,871,042",97.7%,2024
11,Civil War,"$64,583,706","$49,190,895",76.2%,"$15,392,811",23.8%,2024
12,Haikyuu!! The Dumpster Battle,"$64,265,198",-,-,"$64,265,198",100%,2024
13,Night Swim,"$54,075,969","$32,494,740",60.1%,"$21,581,229",39.9%,2024
14,The First Omen,"$45,886,035","$18,548,646",40.4%,"$27,337,389",59.6%,2024
15,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,327,701","$17,657,658",39.8%,"$26,670,043",60.2%,2024
16,Detective Conan: The Million-Dollar Pentagram,"$42,144,197",-,-,"$42,144,197",100%,2024
17,Imaginary,"$38,994,631","$28,009,161",71.8%,"$10,985,470",28.2%,2024
18,Arthur the King,"$31,396,885","$24,617,172",78.4%,"$6,779,713",21.6%,2024
19,Monkey Man,"$29,912,230","$22,766,990",76.1%,"$7,145,240",23.9%,2024
20,Mobile Suit Gundam Seed Freedom,"$29,554,743",-,-,"$29,554,743",100%,2024
21,A Strange House,"$26,682,809",-,-,"$26,682,809",100%,2024
22,The Master and Margarita,"$26,152,311",-,-,"$26,152,311",100%,2024
23,Doraemon the Movie: Nobita's Earth Symphony,"$25,281,429",-,-,"$25,281,429",100%,2024
24,Wicked Little Letters,"$22,212,236","$3,779,260",17%,"$18,432,976",83%,2024
25,Chantal in Fairyland,"$22,140,760",-,-,"$22,140,760",100%,2024
26,Immaculate,"$21,891,238","$15,632,025",71.4%,"$6,259,213",28.6%,2024
27,Mai,"$21,714,524",-,-,"$21,714,524",100%,2024
28,Autumn and the Black Jaguar,"$21,392,778",-,-,"$21,392,778",100%,2024
29,Lyod 3,"$20,615,744",-,-,"$20,615,744",100%,2024
30,Cabrini,"$20,157,935","$19,413,718",96.3%,"$744,217",3.7%,2024
31,Ordinary Angels,"$19,454,580","$19,174,421",98.6%,"$280,159",1.4%,2024
32,Golden Kamuy,"$19,077,748",-,-,"$19,077,748",100%,2024
33,Abigail,"$18,395,249","$13,537,755",73.6%,"$4,857,494",26.4%,2024
34,Cocorico,"$17,266,172",-,-,"$17,266,172",100%,2024
35,Back to Black,"$15,958,095",-,-,"$15,958,095",100%,2024
36,Kleks Academy,"$15,348,026",-,-,"$15,348,026",100%,2024
37,The Chosen: S4 Episodes 1-3,"$14,799,620","$14,409,169",97.4%,"$390,451",2.6%,2024
38,Citizen of a Kind,"$12,494,455",-,-,"$12,494,455",100%,2024
39,The Ministry of Ungentlemanly Warfare,"$12,055,998","$11,588,667",96.1%,"$467,331",3.9%,2024
40,Maison de retraite 2,"$11,196,943",-,-,"$11,196,943",100%,2024
41,Eine Million Minuten,"$11,077,140",-,-,"$11,077,140",100%,2024
42,Article 370,"$11,073,822","$980,649",8.9%,"$10,093,173",91.1%,2024
43,Letuchiy korabl,"$10,834,343",-,-,"$10,834,343",100%,2024
44,Late Night with the Devil,"$10,789,125","$9,740,464",90.3%,"$1,048,661",9.7%,2024
45,Alienoid: The Return to the Future,"$10,693,858","$60,720",0.6%,"$10,633,138",99.4%,2024
46,Cat and Dog,"$10,624,242",-,-,"$10,624,242",100%,2024
47,Lisa Frankenstein,"$9,927,714","$9,774,285",98.5%,"$153,429",1.5%,2024
48,The Chosen: S4 Episodes 4-6,"$9,482,744","$9,482,744",100%,-,-,2024
49,Love Lies Bleeding,"$8,770,948","$7,830,385",89.3%,"$940,563",10.7%,2024
50,Lohusa,"$8,701,733",-,-,"$8,701,733",100%,2024
51,Onegin,"$8,481,968",-,-,"$8,481,968",100%,2024
52,The Birth of Korea,"$8,050,507",-,-,"$8,050,507",100%,2024
53,The Chosen: S4 Episodes 7-8,"$7,753,589","$7,729,152",99.7%,"$24,437",0.3%,2024
54,Kolpaçino 4 4'lük,"$7,445,372",-,-,"$7,445,372",100%,2024
55,Yolo,"$7,040,094","$2,001,584",28.4%,"$5,038,510",71.6%,2024
56,Drive-Away Dolls,"$6,826,057","$5,028,215",73.7%,"$1,797,842",26.3%,2024
57,Troll Factory,"$6,671,112",-,-,"$6,671,112",100%,2024
58,"April, Come She Will","$6,660,318",-,-,"$6,660,318",100%,2024
59,I.S.S.,"$6,573,799","$6,573,799",100%,-,-,2024
60,Land of Bad,"$6,532,018","$4,620,045",70.7%,"$1,911,973",29.3%,2024
61,Un mondo a parte,"$6,463,642",-,-,"$6,463,642",100%,2024
62,Baghead,"$6,422,416",-,-,"$6,422,416",100%,2024
63,The Book of Clarence,"$6,177,661","$6,132,813",99.3%,"$44,848",0.7%,2024
64,SUGA: Agust D Tour 'D-DAY' the Movie,"$6,014,116","$1,951,896",32.5%,"$4,062,220",67.5%,2024
65,Someone Like You,"$5,805,631","$5,805,631",100%,-,-,2024
66,Air,"$5,468,936",-,-,"$5,468,936",100%,2024
67,Matching,"$5,348,492",-,-,"$5,348,492",100%,2024
68,Force of Nature: The Dry 2,"$5,346,224",-,-,"$5,346,224",100%,2024
69,The Goat Life,"$5,080,618","$625,000",12.3%,"$4,455,618",87.7%,2024
70,Table for Six 2,"$4,871,447",-,-,"$4,871,447",100%,2024
71,Anweshippin Kandethum,"$4,459,155",-,-,"$4,459,155",100%,2024
72,Sami Swoi. Poczatek,"$4,433,525",-,-,"$4,433,525",100%,2024
73,El Roomie,"$4,418,253",-,-,"$4,418,253",100%,2024
74,No Way Up,"$4,370,625","$148,582",3.4%,"$4,222,043",96.6%,2024
75,I soliti idioti 3: Il ritorno,"$4,174,340",-,-,"$4,174,340",100%,2024
76,Ducobu passe au vert!,"$4,168,090",-,-,"$4,168,090",100%,2024
77,Dune 2024 Re-release,"$3,995,610",-,-,"$3,995,610",100%,2024
78,Crew,"$3,893,163","$1,500,000",38.5%,"$2,393,163",61.5%,2024
79,La familia Benetón,"$3,881,074",-,-,"$3,881,074",100%,2024
80,Fighter,"$3,800,771","$1,000,000",26.3%,"$2,800,771",73.7%,2024
81,Manjummel Boys,"$3,784,106",-,-,"$3,784,106",100%,2024
82,Gap Lai Chi Bau,"$3,749,297",-,-,"$3,749,297",100%,2024
83,Daaaaaali!,"$3,696,469",-,-,"$3,696,469",100%,2024
84,Breaking Point,"$3,532,131",-,-,"$3,532,131",100%,2024
85,The Moon Thieves,"$3,522,654",-,-,"$3,522,654",100%,2024
86,3391 Kilometres,"$3,506,051",-,-,"$3,506,051",100%,2024
87,Peppa's Cinema Party,"$3,473,576",-,-,"$3,473,576",100%,2024
88,Pare parecchio Parigi,"$3,445,925",-,-,"$3,445,925",100%,2024
89,Konets Slavy,"$3,387,736",-,-,"$3,387,736",100%,2024
90,Guest from the Future,"$3,387,564",-,-,"$3,387,564",100%,2024
91,Lovesick Ellie,"$3,365,139",-,-,"$3,365,139",100%,2024
92,"Baby boom, or Eggnog 5","$3,236,512",-,-,"$3,236,512",100%,2024
93,Shrek 2 2024 Re-release,"$3,201,695","$3,201,695",100%,-,-,2024
94,Lucky Winners,"$3,184,504",-,-,"$3,184,504",100%,2024
95,2024 Oscar Nominated Short Films: Documentary,"$3,162,293","$3,162,293",100%,-,-,2024
96,Boléro,"$3,117,851",-,-,"$3,117,851",100%,2024
97,Budda. Dzieciak '98,"$3,085,668",-,-,"$3,085,668",100%,2024
98,Verliefd op Bali,"$3,069,304",-,-,"$3,069,304",100%,2024
99,Blue Lock: Episode Nagi,"$3,000,311",-,-,"$3,000,311",100%,2024
100,Maria Montessori,"$2,925,359",-,-,"$2,925,359",100%,2024
101,Kensuke's Kingdom,"$2,919,215",-,-,"$2,919,215",100%,2024
102,Aavesham,"$2,838,735",-,-,"$2,838,735",100%,2024
103,Noah's Ark,"$2,835,565",-,-,"$2,835,565",100%,2024
104,The Good Teacher,"$2,766,648",-,-,"$2,766,648",100%,2024
105,Silent Love,"$2,739,320",-,-,"$2,739,320",100%,2024
106,Rob N Roll,"$2,739,036",-,-,"$2,739,036",100%,2024
107,Noche De Bodas,"$2,734,739",-,-,"$2,734,739",100%,2024
108,Detective Conan vs. Kid the Phantom Thief,"$2,727,664",-,-,"$2,727,664",100%,2024
109,Too Old for Fairy Tales 2,"$2,704,435",-,-,"$2,704,435",100%,2024
110,All the Long Nights,"$2,689,624",-,-,"$2,689,624",100%,2024
111,Dog Days,"$2,658,318",-,-,"$2,658,318",100%,2024
112,Operation Portugal 2 - La vie de chateau,"$2,569,348",-,-,"$2,569,348",100%,2024
113,The Long Game,"$2,550,176","$2,550,176",100%,-,-,2024
114,Queen Rock Montreal,"$2,537,304","$2,000,000",78.8%,"$537,304",21.2%,2024
115,Meet the Leroys,"$2,526,302",-,-,"$2,526,302",100%,2024
116,We 12,"$2,491,117",-,-,"$2,491,117",100%,2024
117,The American Society of Magical Negroes,"$2,480,645","$2,480,645",100%,-,-,2024
118,Coppers,"$2,462,266",-,-,"$2,462,266",100%,2024
119,National Theatre Live: Vanya,"$2,453,069",-,-,"$2,453,069",100%,2024
120,50 km/h,"$2,448,552",-,-,"$2,448,552",100%,2024
121,Bade Miyan Chote Miyan,"$2,443,911","$689,505",28.2%,"$1,754,406",71.8%,2024
122,Kral Sakir: Devler Uyandi,"$2,433,892",-,-,"$2,433,892",100%,2024
123,14 jours pour aller mieux,"$2,357,682",-,-,"$2,357,682",100%,2024
124,Premalu,"$2,342,985",-,-,"$2,342,985",100%,2024
125,Tati Part Time,"$2,332,477",-,-,"$2,332,477",100%,2024
126,White Bird,"$2,326,201",-,-,"$2,326,201",100%,2024
127,Bonnard: Pierre & Marthe,"$2,311,172",-,-,"$2,311,172",100%,2024
128,The Green Deal,"$2,269,386",-,-,"$2,269,386",100%,2024
129,Picnic,"$2,256,981",-,-,"$2,256,981",100%,2024
130,Atatürk 1881 - 1919 Film 2 Release,"$2,256,587",-,-,"$2,256,587",100%,2024
131,Tillu Square,"$2,246,550","$1,870,000",83.2%,"$376,550",16.8%,2024
132,It's Raining Men,"$2,211,183",-,-,"$2,211,183",100%,2024
133,Varshangalkku Shesham,"$2,158,590",-,-,"$2,158,590",100%,2024
134,Don't Lose Your Head!,"$2,113,320",-,-,"$2,113,320",100%,2024
135,Todas menos tú,"$2,110,306",-,-,"$2,110,306",100%,2024
136,Columbia 100th Anniversary Series Columbia 100th Anniversary Series,"$2,108,352","$2,108,352",100%,-,-,2024
137,The Ark and the Darkness,"$2,097,560","$2,097,560",100%,-,-,2024
138,Race for Glory: Audi vs. Lancia,"$2,083,383",-,-,"$2,083,383",100%,2024
139,Homeward,"$2,072,695",-,-,"$2,072,695",100%,2024
140,Aristokratka ve varu,"$2,035,808",-,-,"$2,035,808",100%,2024
141,Out of Darkness,"$1,987,281","$1,951,547",98.2%,"$35,734",1.8%,2024
142,Nedelja,"$1,905,017",-,-,"$1,905,017",100%,2024
143,Salle des profs,"$1,855,403",-,-,"$1,855,403",100%,2024
144,YA - medved,"$1,842,294",-,-,"$1,842,294",100%,2024
145,Et plus si affinités,"$1,836,556",-,-,"$1,836,556",100%,2024
146,Un altro Ferragosto,"$1,816,797",-,-,"$1,816,797",100%,2024
147,Love You as the World Ends: Episode #4.5,"$1,814,466",-,-,"$1,814,466",100%,2024
148,Komandir,"$1,808,588",-,-,"$1,808,588",100%,2024
149,Valle de sombras,"$1,805,813",-,-,"$1,805,813",100%,2024
150,Adam & Eve,"$1,752,038",-,-,"$1,752,038",100%,2024
151,El correo,"$1,751,343",-,-,"$1,751,343",100%,2024
152,Kardes Takimi,"$1,748,615",-,-,"$1,748,615",100%,2024
153,La ferme des Bertrand,"$1,719,910",-,-,"$1,719,910",100%,2024
154,Teri Baaton Mein Aisa Uljha Jiya,"$1,699,722",-,-,"$1,699,722",100%,2024
155,Dead Man,"$1,689,878",-,-,"$1,689,878",100%,2024
156,Like a Prince,"$1,681,549",-,-,"$1,681,549",100%,2024
157,Onmyoji Zero,"$1,651,827",-,-,"$1,651,827",100%,2024
158,Madame de Sévigné,"$1,640,410",-,-,"$1,640,410",100%,2024
159,I Did It My Way,"$1,628,896","$198,405",12.2%,"$1,430,491",87.8%,2024
160,Mothers' Instinct,"$1,606,319",-,-,"$1,606,319",100%,2024
161,A Silence,"$1,562,685",-,-,"$1,562,685",100%,2024
162,18×2 Beyond Youthful Days,"$1,556,999",-,-,"$1,556,999",100%,2024
163,Romeo è Giulietta,"$1,555,180",-,-,"$1,555,180",100%,2024
164,Dune IMAX,"$1,550,188","$570,000",36.8%,"$980,188",63.2%,2024
165,The Promised Land,"$1,511,719","$257,749",17.1%,"$1,253,970",82.9%,2024
166,Let's Go Karaoke!,"$1,510,372",-,-,"$1,510,372",100%,2024
167,Shaitaan,"$1,501,788",-,-,"$1,501,788",100%,2024
168,National Theatre Live: Dear England,"$1,485,050",-,-,"$1,485,050",100%,2024
169,Off-Season,"$1,481,675",-,-,"$1,481,675",100%,2024
170,Matka v trapu,"$1,477,538",-,-,"$1,477,538",100%,2024
171,Sleeping Dogs,"$1,458,885",-,-,"$1,458,885",100%,2024
172,Firebrand,"$1,439,516",-,-,"$1,439,516",100%,2024
173,Miller's Girl,"$1,431,190",-,-,"$1,431,190",100%,2024
174,Pozyvnoy «Passazhir»,"$1,405,286",-,-,"$1,405,286",100%,2024
175,Karaoké,"$1,404,406",-,-,"$1,404,406",100%,2024
176,Irklais per Atlanta,"$1,394,826",-,-,"$1,394,826",100%,2024
177,Bramayugam,"$1,388,375",-,-,"$1,388,375",100%,2024
178,Sladky zivot,"$1,377,407",-,-,"$1,377,407",100%,2024
179,White Courage,"$1,373,237",-,-,"$1,373,237",100%,2024
180,Les chèvres!,"$1,317,742",-,-,"$1,317,742",100%,2024
181,National Theatre Live: The Motive and the Cue,"$1,312,531",-,-,"$1,312,531",100%,2024
182,Neon Genesis Evangelion: The End of Evangelion,"$1,302,300","$1,302,300",100%,-,-,2024
183,A Nice Jewish Boy,"$1,267,653",-,-,"$1,267,653",100%,2024
184,Making Of,"$1,261,221",-,-,"$1,261,221",100%,2024
185,Color of Victory,"$1,260,020",-,-,"$1,260,020",100%,2024
186,Enea,"$1,241,570",-,-,"$1,241,570",100%,2024
187,Unknown Title,"$1,222,901",-,-,"$1,222,901",100%,2024
188,Dieci minuti,"$1,147,973",-,-,"$1,147,973",100%,2024
189,Políticamente incorrectos,"$1,142,279",-,-,"$1,142,279",100%,2024
190,Ibelin,"$1,124,687",-,-,"$1,124,687",100%,2024
191,This is My Mother,"$1,113,611",-,-,"$1,113,611",100%,2024
192,Sting,"$1,090,798","$1,090,798",100%,-,-,2024
193,Vojna policajtov,"$1,087,016",-,-,"$1,087,016",100%,2024
194,Fuks 2,"$1,078,203",-,-,"$1,078,203",100%,2024
195,Operation Valentine,"$1,076,193",-,-,"$1,076,193",100%,2024
196,Beautiful Wedding,"$1,073,495",-,-,"$1,073,495",100%,2024
197,Giants of la Mancha,"$1,032,571",-,-,"$1,032,571",100%,2024
198,Menudas piezas,"$1,022,720",-,-,"$1,022,720",100%,2024
199,Amelia's Children,"$1,015,828","$11,073",1.1%,"$1,004,755",98.9%,2024
200,Tainted Soul,"$1,007,804",-,-,"$1,007,804",100%,2024
,,,,,,,2024
Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Barbie,"$1,445,638,421","$636,238,421",44%,"$809,400,000",56%,2023
2,The Super Mario Bros. Movie,"$1,362,029,918","$574,934,330",42.2%,"$787,095,588",57.8%,2023
3,Oppenheimer,"$971,612,566","$329,862,540",34%,"$641,750,026",66%,2023
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%,2023
5,Fast X,"$704,875,015","$146,126,015",20.7%,"$558,749,000",79.3%,2023
6,Spider-Man: Across the Spider-Verse,"$690,615,475","$381,311,319",55.2%,"$309,304,156",44.8%,2023
7,Wonka,"$632,302,312","$218,402,312",34.5%,"$413,900,000",65.5%,2023
8,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%,2023
9,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%,2023
10,Elemental,"$496,444,308","$154,426,697",31.1%,"$342,017,611",68.9%,2023
11,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%,2023
12,John Wick: Chapter 4,"$440,157,245","$187,131,806",42.5%,"$253,025,439",57.5%,2023
13,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%,2023
14,Aquaman and the Lost Kingdom,"$434,381,226","$124,481,226",28.7%,"$309,900,000",71.3%,2023
15,Meg 2: The Trench,"$397,700,317","$82,600,317",20.8%,"$315,100,000",79.2%,2023
16,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%,2023
17,The Hunger Games: The Ballad of Songbirds & Snakes,"$337,371,917","$166,350,594",49.3%,"$171,021,323",50.7%,2023
18,Migration,"$296,703,996","$127,306,285",42.9%,"$169,397,711",57.1%,2023
19,Five Nights at Freddy's,"$291,493,620","$137,275,620",47.1%,"$154,218,000",52.9%,2023
20,Creed III,"$276,148,615","$156,248,615",56.6%,"$119,900,000",43.4%,2023
21,The Flash,"$271,333,313","$108,133,313",39.9%,"$163,200,000",60.1%,2023
22,The Nun II,"$269,467,073","$86,267,073",32%,"$183,200,000",68%,2023
23,Taylor Swift: The Eras Tour,"$261,656,269","$180,756,269",69.1%,"$80,900,000",30.9%,2023
24,Wish,"$254,946,568","$63,973,821",25.1%,"$190,972,747",74.9%,2023
25,Sound of Freedom,"$250,570,396","$184,178,046",73.5%,"$66,392,350",26.5%,2023
26,Napoleon,"$221,037,970","$61,524,375",27.8%,"$159,513,595",72.2%,2023
27,Anyone But You,"$219,164,410","$88,319,668",40.3%,"$130,844,742",59.7%,2023
28,Trolls Band Together,"$209,303,232","$102,996,915",49.2%,"$106,306,317",50.8%,2023
29,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%,2023
30,The Marvels,"$206,136,557","$84,500,223",41%,"$121,636,334",59%,2023
31,PAW Patrol: The Mighty Movie,"$202,231,360","$65,231,360",32.3%,"$137,000,000",67.7%,2023
32,The Equalizer 3,"$191,067,560","$92,373,751",48.3%,"$98,693,809",51.7%,2023
33,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%,2023
34,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%,2023
35,The Boy and the Heron,"$173,294,573","$46,798,641",27%,"$126,495,932",73%,2023
36,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%,2023
37,Killers of the Flower Moon,"$157,026,901","$68,026,901",43.3%,"$89,000,000",56.7%,2023
38,Evil Dead Rise,"$147,033,054","$67,233,054",45.7%,"$79,800,000",54.3%,2023
39,The Exorcist: Believer,"$136,284,218","$65,537,395",48.1%,"$70,746,823",51.9%,2023
40,Shazam! Fury of the Gods,"$134,038,006","$57,638,006",43%,"$76,400,000",57%,2023
41,Blue Beetle,"$130,788,072","$72,488,072",55.4%,"$58,300,000",44.6%,2023
42,A Haunting in Venice,"$122,290,456","$42,471,412",34.7%,"$79,819,044",65.3%,2023
43,Gran Turismo,"$122,101,055","$44,428,554",36.4%,"$77,672,501",63.6%,2023
44,Haunted Mansion,"$117,449,790","$67,653,287",57.6%,"$49,796,503",42.4%,2023
45,Poor Things,"$117,193,959","$34,553,225",29.5%,"$82,640,734",70.5%,2023
46,Godzilla Minus One,"$115,857,413","$56,418,793",48.7%,"$59,438,620",51.3%,2023
47,Pathaan,"$112,583,450","$17,487,476",15.5%,"$95,095,974",84.5%,2023
48,Saw X,"$111,823,047","$53,607,898",47.9%,"$58,215,149",52.1%,2023
49,Detective Conan: Black Iron Submarine,"$106,771,806",-,-,"$106,771,806",100%,2023
50,The Creator,"$104,272,136","$40,774,679",39.1%,"$63,497,457",60.9%,2023
51,12.12: The Day,"$97,476,565",-,-,"$97,476,565",100%,2023
52,Animal,"$92,870,227","$15,004,482",16.2%,"$77,865,745",83.8%,2023
53,Talk to Me,"$92,181,735","$48,299,436",52.4%,"$43,882,299",47.6%,2023
54,Air,"$90,060,106","$52,460,106",58.3%,"$37,600,000",41.7%,2023
55,Cocaine Bear,"$88,314,672","$64,670,240",73.2%,"$23,644,432",26.8%,2023
56,No Hard Feelings,"$87,256,407","$50,452,282",57.8%,"$36,804,125",42.2%,2023
57,The Roundup: No Way Out,"$83,410,298","$909,411",1.1%,"$82,500,887",98.9%,2023
58,The Pope's Exorcist,"$76,987,621","$20,009,380",26%,"$56,978,241",74%,2023
59,Plane,"$74,515,586","$32,111,181",43.1%,"$42,404,405",56.9%,2023
60,Titanic 25 Year Anniversary,"$70,157,472","$15,033,795",21.4%,"$55,123,677",78.6%,2023
61,The Color Purple,"$67,519,191","$60,619,191",89.8%,"$6,900,000",10.2%,2023
62,The Boogeyman,"$67,307,243","$43,244,282",64.2%,"$24,062,961",35.8%,2023
63,Frozen 2023 Re-release (Sing -A-Long),"$62,846,398",-,-,"$62,846,398",100%,2023
64,65,"$60,730,568","$32,062,904",52.8%,"$28,667,664",47.2%,2023
65,Magic Mike's Last Dance,"$57,105,156","$26,005,156",45.5%,"$31,100,000",54.5%,2023
66,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,319,351","$10,117,806",18%,"$46,201,545",82%,2023
67,The Boys in the Boat,"$55,401,397","$52,641,306",95%,"$2,760,091",5%,2023
68,Knock at the Cabin,"$54,760,947","$35,397,980",64.6%,"$19,362,967",35.4%,2023
69,Mummies,"$54,475,970","$4,275,970",7.8%,"$50,200,000",92.2%,2023
70,Jesus Revolution,"$54,295,801","$52,102,987",96%,"$2,192,814",4%,2023
71,Asteroid City,"$53,857,743","$28,153,025",52.3%,"$25,704,718",47.7%,2023
72,Spy x Family Code: White,"$52,972,961","$5,975,120",11.3%,"$46,997,841",88.7%,2023
73,One Life,"$50,763,454","$5,544,989",10.9%,"$45,218,465",89.1%,2023
74,Operation Fortune: Ruse de Guerre,"$48,983,306","$6,496,125",13.3%,"$42,487,181",86.7%,2023
75,Missing,"$48,767,848","$32,502,025",66.6%,"$16,265,823",33.4%,2023
76,Thanksgiving,"$46,553,280","$31,908,884",68.5%,"$14,644,396",31.5%,2023
77,Asterix & Obelix: The Middle Kingdom,"$46,497,678",-,-,"$46,497,678",100%,2023
78,Ruby Gillman: Teenage Kraken,"$45,528,749","$15,753,600",34.6%,"$29,775,149",65.4%,2023
79,There's Still Tomorrow,"$44,915,491",-,-,"$44,915,491",100%,2023
80,The Holdovers,"$44,591,180","$20,355,375",45.6%,"$24,235,805",54.4%,2023
81,The Zone of Interest,"$44,247,532","$8,576,457",19.4%,"$35,671,075",80.6%,2023
82,The Iron Claw,"$44,217,977","$35,070,296",79.3%,"$9,147,681",20.7%,2023
83,Renaissance: A Film by Beyoncé,"$43,989,684","$33,889,684",77%,"$10,100,000",23%,2023
84,Son of a Rich 2,"$42,665,291",-,-,"$42,665,291",100%,2023
85,Ferrari,"$42,285,029","$18,550,028",43.9%,"$23,735,001",56.1%,2023
86,80 for Brady,"$40,362,938","$39,330,588",97.4%,"$1,032,350",2.6%,2023
87,"Miraculous: Ladybug & Cat Noir, the Movie","$40,180,644",-,-,"$40,180,644",100%,2023
88,My Big Fat Greek Wedding 3,"$38,831,076","$28,496,030",73.4%,"$10,335,046",26.6%,2023
89,Past Lives,"$38,731,443","$11,185,625",28.9%,"$27,545,818",71.1%,2023
90,The Expendables 4,"$37,917,985","$16,710,153",44.1%,"$21,207,832",55.9%,2023
91,Doraemon the Movie: Nobita's Sky Utopia,"$37,475,850",-,-,"$37,475,850",100%,2023
92,Smugglers,"$36,851,831",-,-,"$36,851,831",100%,2023
93,Kingdom 3,"$36,259,522",-,-,"$36,259,522",100%,2023
94,Ride On,"$36,258,730","$128,950",0.4%,"$36,129,780",99.6%,2023
95,Strays,"$36,071,267","$23,988,885",66.5%,"$12,082,382",33.5%,2023
96,Anatomy of a Fall,"$35,527,088","$5,076,369",14.3%,"$30,450,719",85.7%,2023
97,Noryang: Deadly Sea,"$34,210,966","$315,245",0.9%,"$33,895,721",99.1%,2023
98,Alibi.com 2,"$34,114,308",-,-,"$34,114,308",100%,2023
99,The Bremen Town Musicians,"$33,162,280",-,-,"$33,162,280",100%,2023
100,Priscilla,"$32,955,187","$20,960,939",63.6%,"$11,994,248",36.4%,2023
101,Don't Call it Mystery: The Movie,"$32,488,540",-,-,"$32,488,540",100%,2023
102,The Three Musketeers - Part I: D'Artagnan,"$31,843,086",-,-,"$31,843,086",100%,2023
103,Tokyo MER,"$30,239,900",-,-,"$30,239,900",100%,2023
104,Interstellar 2023 Re-release,"$30,093,495",-,-,"$30,093,495",100%,2023
105,Concrete Utopia,"$30,077,348",-,-,"$30,077,348",100%,2023
106,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.6%,"$21,198,613",72.4%,2023
107,Book Club: The Next Chapter,"$29,014,500","$17,581,565",60.6%,"$11,432,935",39.4%,2023
108,I Wish I Could Meet You Again on the Hill Where That Flower Blooms (2023),"$28,933,626",-,-,"$28,933,626",100%,2023
109,Jawan,"$28,499,044","$15,198,530",53.3%,"$13,300,514",46.7%,2023
110,The Wish of the Fairy Fish,"$28,218,581",-,-,"$28,218,581",100%,2023
111,Toy Story 2023 Re-release,"$27,503,758",-,-,"$27,503,758",100%,2023
112,Renfield,"$26,493,921","$17,297,895",65.3%,"$9,196,026",34.7%,2023
113,Gravity 2023 Re-release (10th Anniversary),"$24,981,634",-,-,"$24,981,634",100%,2023
114,Perfect Days,"$24,191,907","$3,674,283",15.2%,"$20,517,624",84.8%,2023
115,Shin Jigen! Crayon Shin-chan the Movie,"$23,839,864",-,-,"$23,839,864",100%,2023
116,The Challenge,"$23,219,519",-,-,"$23,219,519",100%,2023
117,American Fiction,"$22,483,370","$21,098,470",93.8%,"$1,384,900",6.2%,2023
118,The Last Voyage of the Demeter,"$21,786,275","$13,637,180",62.6%,"$8,149,095",37.4%,2023
119,The Three Musketeers - Part II: Milady,"$21,715,985",-,-,"$21,715,985",100%,2023
120,Guy Ritchie's the Covenant,"$21,632,392","$16,938,039",78.3%,"$4,694,353",21.7%,2023
121,"Are You There God? It's Me, Margaret.","$21,464,043","$20,372,406",94.9%,"$1,091,637",5.1%,2023
122,Radical,"$21,356,027","$8,702,731",40.8%,"$12,653,296",59.2%,2023
123,Saltburn,"$21,026,167","$11,425,829",54.3%,"$9,600,338",45.7%,2023
124,Dumb Money,"$20,703,794","$13,925,356",67.3%,"$6,761,614",32.7%,2023
125,All of Us Strangers,"$19,686,695","$4,050,103",20.6%,"$15,636,592",79.4%,2023
126,My Happy Marriage,"$19,506,407",-,-,"$19,506,407",100%,2023
127,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%,2023
