Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$31,101,026",Bringing Down the House,Walt Disney Studios Motion Pictures,"March 7, 2003 (Domestic)",PG-13,1 hr 45 min,,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.","['Steve Martin', 'Queen Latifah', 'Eugene Levy', 'Joan Plowright']","['Adam Shankman', 'Jason Filardi', 'Ashok Amritraj', 'David Hoberman', 'Lalo Schifrin', 'Julio Macat', 'Gerald B. Greenberg', 'Linda DeScenna']"
"$27,623,580",Daddy Day Care,Revolution Studios,"May 9, 2003 (Domestic)",PG,1 hr 32 min,,Two men named Charlie Hinton and Phil Ryerson get laid off and have to become stay-at-home fathers when they can't find jobs. This inspires them to open their own day care center.,"['Eddie Murphy', 'Jeff Garlin', 'Anjelica Huston', 'Steve Zahn']","['Steve Carr', 'Geoff Rodkey', 'Matt Berenson', 'John Davis', 'Wyck Godfrey', 'David Newman', 'Steven Poster', 'Christopher Greenbury', 'Garreth Stover']"
"$22,203,007",Freaky Friday,Walt Disney Studios Motion Pictures,"August 6, 2003 (Domestic)",PG,1 hr 37 min,,"An overworked mother and her daughter did not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","['Jamie Lee Curtis', 'Lindsay Lohan', 'Mark Harmon', 'Harold Gould']","['Mark Waters', 'Mary Rodgers', 'Heather Hach', 'Leslie Dixon', 'Andrew Gunn', 'Rolfe Kent', 'Oliver Wood', 'Bruce Green', 'Cary White']"
"$9,134,085",Johnny English,Universal Pictures,"April 9, 2003 (Belgium)",PG,1 hr 29 min,,"After a sudden attack on MI5, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy.","['Rowan Atkinson', 'John Malkovich', 'Natalie Imbruglia', 'Tasha de Vasconcelos']","['Peter Howitt', 'Neal Purvis', 'Robert Wade', 'William Davies', 'Peter Howitt', 'Tim Bevan', 'Frédéric Bovis', 'Eric Fellner', 'Mark Huffam', 'Lucette Legot', 'Edward Shearmur', 'Remi Adefarasin', 'Robin Sales', 'Chris Seagers']"
"$21,783,641",Lara Croft: Tomb Raider - The Cradle of Life,Paramount Pictures,"July 24, 2003 (APAC)",PG-13,1 hr 57 min,,"Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her.","['Angelina Jolie', 'Gerard Butler', 'Chris Barrie', 'Ciarán Hinds']","['Jan de Bont', 'Dean Georgaris', 'Steven E. de Souza', 'James V. Hart', 'Lawrence Gordon', 'Lloyd Levin', 'Alan Silvestri', 'David Tattersall', 'Michael Kahn', 'Kirk M. Petruccelli']"
"$640,815",Mystic River,Warner Bros.,"October 8, 2003 (Domestic)",R,2 hr 18 min,,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.","['Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Emmy Rossum']","['Clint Eastwood', 'Brian Helgeland', 'Dennis Lehane', 'Clint Eastwood', 'Judie Hoyt', 'Robert Lorenz', 'Clint Eastwood', 'Tom Stern', 'Joel Cox', 'Henry Bumstead']"
,Bayside Shakedown 2,,"July 19, 2003 (Japan)",,2 hr 18 min,Action Comedy Crime,"A special investigative team takes on a strange murder case. As they trace the killer, another murder happens and a witness shows up, making things even more confusing.","['Yûji Oda', 'Toshirô Yanagiba', 'Eri Fukatsu', 'Miki Mizuno']","['Katsuyuki Motohiro', 'Ryôichi Kimizuka', 'Takashi Ishihara', 'Chihiro Kameyama', 'Hirotsugu Usui', 'Akihiko Matsumoto', 'Osamu Fujiishi', 'Takuya Taguchi', 'Yôji Abeki']"
"$20,854,735",Seabiscuit,Universal Pictures,"July 25, 2003 (Domestic)",PG-13,2 hr 20 min,,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,"['Tobey Maguire', 'Jeff Bridges', 'Elizabeth Banks', 'Chris Cooper']","['Gary Ross', 'Laura Hillenbrand', 'Gary Ross', 'Kathleen Kennedy', 'Frank Marshall', 'Gary Ross', 'Jane Sindell', 'Randy Newman', 'John Schwartzman', 'William Goldenberg', 'Jeannine Oppewall']"
"$19,288,438",Gothika,Warner Bros.,"November 21, 2003 (Domestic)",R,1 hr 38 min,,"A psychiatrist awakens as a patient in a mental institution, with no memory of the murder she's accused of committing. As she tries to regain her memory, a vengeful spirit manipulates her.","['Halle Berry', 'Penélope Cruz', 'Robert Downey Jr.', 'Charles S. Dutton']","['Mathieu Kassovitz', 'Sebastian Gutierrez', 'Susan Downey', 'L. Levin', 'Joel Silver', 'Robert Zemeckis', 'John Ottman', 'Matthew Libatique', 'Yannick Kergoat', ""Graham 'Grace' Walker""]"
"$11,528,498",Mona Lisa Smile,Revolution Studios,"December 19, 2003 (Domestic, EMEA)",PG-13,1 hr 57 min,,A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles.,"['Julia Roberts', 'Kirsten Dunst', 'Julia Stiles', 'Maggie Gyllenhaal']","['Mike Newell', 'Lawrence Konner', 'Mark Rosenthal', 'Elaine Goldsmith-Thomas', 'Paul Schiff', 'Deborah Schindler', 'Rachel Portman', 'Anastas N. Michos', 'Mick Audsley', 'Jane Musky']"
